num_tasks,t_max,utilization,thm1,thm2,thm3,lo_tasks_list,hi_tasks_list
8,246,0.6971828697742873,,,,"[Task(0, 76, 7, 7, 375, 375), Task(2, 362, 22, 22, 367, 367), Task(3, 304, 11, 11, 197, 197), Task(6, 119, 9, 9, 61, 61)]","[Task(1, 28, 5, 14, 184, 184), Task(4, 86, 14, 45, 193, 193), Task(5, 192, 13, 39, 245, 245), Task(7, 427, 10, 36, 327, 327)]"
6,940,0.698448158225386,,,,"[Task(0, 143, 5, 5, 288, 288), Task(2, 202, 23, 23, 212, 212), Task(3, 117, 23, 23, 77, 77), Task(4, 48, 7, 7, 240, 240), Task(5, 444, 18, 18, 38, 38)]","[Task(1, 42, 7, 20, 252, 252)]"
6,319,0.6934905378256473,,,,"[Task(2, 41, 10, 10, 209, 209), Task(3, 119, 14, 14, 62, 62)]","[Task(0, 113, 21, 60, 80, 80), Task(1, 421, 16, 57, 280, 280), Task(4, 146, 7, 18, 44, 44), Task(5, 133, 8, 18, 242, 242)]"
5,1891,0.695766337195296,,,,"[Task(0, 108, 22, 22, 244, 244), Task(3, 67, 12, 12, 393, 393), Task(4, 859, 17, 17, 32, 32)]","[Task(1, 161, 15, 54, 359, 359), Task(2, 30, 6, 21, 218, 218)]"
7,2293,0.6936356092922862,,,,"[Task(1, 122, 19, 19, 327, 327), Task(2, 40, 7, 7, 104, 104), Task(3, 167, 6, 6, 89, 89), Task(6, 37, 5, 5, 145, 145)]","[Task(0, 67, 9, 19, 51, 51), Task(4, 325, 12, 40, 280, 280), Task(5, 1166, 24, 70, 153, 153)]"
4,149,0.6971329295147315,,,,"[Task(3, 114, 24, 24, 354, 354)]","[Task(0, 65, 15, 47, 222, 222), Task(1, 286, 15, 48, 221, 221), Task(2, 118, 24, 55, 387, 387)]"
4,43,0.6975721782084641,,,,"[Task(1, 87, 21, 21, 304, 304), Task(2, 93, 22, 22, 74, 74), Task(3, 303, 21, 21, 361, 361)]","[Task(0, 153, 23, 82, 139, 139)]"
7,1397,0.6985891280597775,,,,"[Task(2, 29, 7, 7, 319, 319), Task(3, 138, 17, 17, 348, 348), Task(4, 362, 11, 11, 274, 274)]","[Task(0, 101, 19, 44, 335, 335), Task(1, 669, 14, 45, 66, 66), Task(5, 590, 13, 48, 167, 167), Task(6, 317, 23, 64, 349, 349)]"
5,654,0.6967543425392522,,,,"[Task(0, 66, 16, 16, 43, 43), Task(1, 113, 18, 18, 55, 55), Task(3, 405, 20, 20, 273, 273)]","[Task(2, 83, 18, 56, 184, 184), Task(4, 660, 19, 45, 375, 375)]"
6,562,0.6957667525665667,,,,"[Task(0, 321, 24, 24, 75, 75), Task(4, 551, 18, 18, 399, 399), Task(5, 97, 5, 5, 153, 153)]","[Task(1, 82, 14, 49, 113, 113), Task(2, 100, 23, 90, 96, 96), Task(3, 147, 20, 69, 156, 156)]"
