num_tasks,t_max,utilization,thm1,thm2,thm3,lo_tasks_list,hi_tasks_list
5,1,0.3958264807432489,True,True,True,"[Task(1, 96, 8, 8, 480, 480), Task(4, 75, 18, 18, 195, 195)]","[Task(0, 359, 24, 61, 356, 356), Task(2, 334, 16, 44, 476, 476), Task(3, 354, 20, 59, 480, 480)]"
5,1,0.4000175490973491,True,True,True,"[Task(1, 176, 15, 15, 499, 499), Task(3, 184, 18, 18, 182, 182)]","[Task(0, 278, 10, 39, 295, 295), Task(2, 237, 17, 60, 334, 334), Task(4, 255, 20, 57, 404, 404)]"
3,1,0.3958101478452606,True,True,True,"[Task(2, 19, 10, 10, 248, 248)]","[Task(0, 414, 7, 25, 412, 412), Task(1, 122, 12, 25, 290, 290)]"
5,1,0.4017630239451759,True,True,True,"[Task(3, 70, 9, 9, 171, 171), Task(4, 118, 6, 6, 273, 273)]","[Task(0, 100, 10, 36, 108, 108), Task(1, 285, 19, 45, 363, 363), Task(2, 499, 24, 53, 497, 497)]"
3,1,0.3991872025483665,True,True,True,"[Task(0, 255, 15, 15, 252, 252), Task(2, 41, 24, 24, 133, 133)]","[Task(1, 227, 17, 35, 299, 299)]"
3,1,0.3966635431751711,True,True,True,"[Task(2, 130, 24, 24, 438, 438)]","[Task(0, 301, 5, 16, 298, 298), Task(1, 45, 7, 25, 347, 347)]"
4,1,0.3959405358346204,True,True,True,"[Task(0, 84, 23, 23, 461, 461), Task(3, 367, 9, 9, 365, 365)]","[Task(1, 279, 17, 54, 476, 476), Task(2, 50, 7, 15, 378, 378)]"
7,1,0.3952824118969466,True,True,True,"[Task(0, 383, 16, 16, 381, 381), Task(1, 195, 7, 7, 427, 427), Task(2, 341, 14, 14, 453, 453), Task(3, 197, 11, 11, 475, 475), Task(5, 227, 21, 21, 425, 425)]","[Task(4, 403, 18, 72, 489, 489), Task(6, 174, 17, 60, 324, 324)]"
5,1,0.3982977664400225,True,True,True,"[Task(1, 285, 6, 6, 469, 469), Task(3, 345, 20, 20, 467, 467)]","[Task(0, 322, 21, 70, 320, 320), Task(2, 229, 21, 56, 321, 321), Task(4, 133, 14, 34, 411, 411)]"
3,2,0.3981698707505159,True,True,True,"[Task(1, 54, 17, 17, 422, 422), Task(2, 165, 6, 6, 161, 161)]","[Task(0, 155, 24, 69, 205, 205)]"
